No,Name,Code ,BOS Code,Sub-Grids,Units,Gender,Max Class,Corresponding Lines,Same Students
5,10 Learning Support,0LNSP,,2,1,Both,16,Yes,Yes
6,10 3D Modelling,03DM,,1,1,Both,22,,
7,10 Visual Art A,0ARTA,,1,1,Both,21,,
8,10 Visual Art B,0ARTB,,1,1,Both,21,,
9,10 Civics Citizenship Economics,0CIV,,1,1,Both,22,,
10,10 Creative Writing,0CR8WTG,,1,1,Both,22,,
11,10 Dance A,0DANA,,1,1,Both,20,,
12,10 Dance B,0DANB,,1,1,Both,18,,
13,10 Drama A,0DRAA,,1,1,Both,Nil Max,,
14,10 Drama B,0DRAB,,1,1,Both,Nil Max,,
15,10 Digital Technology,0DTE,,1,1,Both,22,,
16,10 Digital Products,0DTPRO,,1,1,Both,22,,
17,10 English,0ENG,,2,0,Both,Nil Max,No,No
18,10 Engineering Technology,0ENTEC,,1,1,Both,20,,
19,10 English as an Additional Language,0EAL,,2,0,Both,Nil Max,No,No
20,10 Food Innovation,0FDINV,,1,1,Both,20,,
21,10 Food & Nutrition,0FODA,,1,1,Both,20,,
22,10 Humanities,0HUM,,1,0,Both,Nil Max,,
23,10 Italian,0ITA,,2,1,Both,Nil Max,No,No
24,10 Italian (Beginners),0ITABGN,,2,1,Both,Nil Max,No,No
25,10 Jewellery Design,0JEW,,1,1,Both,20,,
26,10 Media Arts Animation,0MDAN,,1,1,Both,22,,
27,10 Media Arts Film & Cinematography,0MDFL,,1,1,Both,20,,
28,10 Material Design with Metal,0MDNM,,1,1,Both,18,,
29,10 Material Design with Wood,0MDTW,,1,1,Both,18,,
30,10 Mathematics,0MTH,,2,0,Both,Nil Max,No,No
31,10 Mathematics A,0MTHA,,1,1,Both,Nil Max,,
32,10 Music A,0MUSA,,1,1,Both,20,,
33,10 Music B,0MUSB,,1,1,Both,Nil Max,,
34,10 Digital Photography,0PGHD,,1,1,Both,20,,
35,10 Health and Physical Education 1,0PHE1,,1,1,Both,21,,
36,10 Health and Physical Education 2,0PHE2,,1,1,Both,22,,
37,10 Science,0SCI,,2,0,Both,Nil Max,No,No
38,10 SAASTA Aboriginal Studies,1ABGMS,,1,1,Both,Nil Max,,
39,10 SAASTA Shield,1CXDSTMS,,1,1,Both,Nil Max,,
40,11 Personal Learning Plan,1PLP,,1,0,Both,Nil Max,,
,,,,,,,,,
