sub_code,sub_name
03DM,3D DIGITAL MODELLING
0AAB,ANIMAL ADAPT AND BEHAVIOUR
0ABR,WAR AND AUSTRALIA BECOMING A REPUBLIC
0AFR,WAR AND AFRICA
0AIW,AUSTRALIA'S INVOLVEMENT IN WAR
0ALG,ALGEBRA
0ALGE,ALGEBRAIC MANIPULATION
0ALOP,ALTERNATIVE LEARNING PROGRAM
0AMH,AMERICAN HISTORY
0APC,ABORIGINAL POWER CUP
0ART,ART
0ARTA,VISUAL ART A
0ARTB,VISUAL ART B
0ARTF,ART
0ARTS,ART
0ATY,ATOMIC THEORY
0AUSS,AUSTRALIAN STUDIES
0BASS,BASIC SKILLS
0BCS,BECOMING CONFIDENT SPEAKER
0BIO,BIOLOGICAL SCIENCE
0CADF,COMP AIDED DESIGN
0CADS,COMP AIDED DESIGN
0CARE,CARE GROUP
0CARE1,CARE GROUP
0CBIO,CELLULAR BIOLOGY
0CCA,CROSS CURRICULAR ARTS
0CFM,COURSES OF A FORMAL MENU
0CHI,CHINESE
0CHI1,CHINESE
0CHIF,CHINESE FULL
0CHIH,CHINESE HALF
0CHM,CHEMICAL SCIENCE
0CHOC,CHOCOLATE WORK
0CHST,CHILD STUDIES
0CIV,CIVICS CITIZENSHIP ECONOMICS
0CMDY,COMEDY
0CON,CONSTRUCTION SCIENCE
0CR8WTG,CREATIVE WRITING
0CST,CULTURAL STUDIES
0CWRI,CREATIVE WRITING
0D2C,DOORWAYS 2 CONSTRUCTION
0DAN,DANCE
0DANA,DANCE A
0DANB,DANCE B
0DANF,DANCE
0DANS,DANCE
0DCC,MAKING AND DECORATING CAKE
0DDNC,DIGITAL DESIGN - COMPUTING
0DDNDP,DIGITAL DESIGN - DIGITAL PUBLISHING
0DDNMP,DIGITAL DESIGN - MEDIA PRODUCTION
0DDNPH,DIGITAL DESIGN - PHOTOGRAPHY
0DES,DESIGN
0DESF,DESIGN
0DESS,DESIGN
0DGP,DIGITAL GRAPHICS
0DIMS,DIGITAL MUSIC
0DPP,DIGITAL PUBLISHING AND PRODUCTION
0DPUB,DIGITAL PUBLISHING
0DRA,DRAMA
0DRAA,DRAMA A
0DRAB,DRAMA B
0DRAF,DRAMA
0DRAS,DRAMA
0DST,DIGITAL STORYTELLING
0DTE,DIGITAL TECHNOLOGY
0DTMP,MEDIA PRODUCTION
0EALA,ENGLISH AS AN ADDITIONAL LANG A
0EALB,ENGLISH AS AN ADDITIONAL LANG B
0EARN,EARNING AND BUDGETING
0ELEF,ELECTRONICS
0ELES,ELECTRONICS
0ENG,ENGLISH
0ENG1,ENGLISH
0ENG2,ENGLISH
0ENGL,ENGLISH
0ENGO,ENGLISH
0ENGP,ENGLISH
0ENGX,ENGLISH
0ENGY,ENGLISH
0ENGZ,ENGLISH
0ENTC,ENGINEERING TECHNOLOGY
0ENTEC,ENGINEERING TECHNOLOGY
0ESL,ENGLISH AS A SECOND LANGUAGE PHASE 5/6
0ESL1,ENGLISH AS A SECOND LANGUAGE
0ESLA,ENGLISH AS A SECOND LANGUAGE A
0ESLB,ENGLISH AS A SECOND LANGUAGE B
0ESLEA,ENGLISH AS A SECOND LANGUAGE A
0ESLEB,ENGLISH AS A SECOND LANGUAGE B
0EWSK,ESSAY WRITING SKILLS
0FAN,FANTASY
0FAS,FASHION & TEXTILES
0FATF,FASHION & TEXTILES
0FATS,FASHION & TEXTILES
0FDINV,FOOD INNOVATION
0FINNU,FINANCIAL NUMERACY
0FOCF,FOOD & CULTURE
0FOCS,FOOD & CULTURE
0FOD,FOOD
0FODA,FOOD AND NUTRITION
0FODB,FOOD INNOVATION
0FPP,TEXT IN THE FIRST PERSON
0FTXT,FILM AS TEXT
0FUTC,FUTURES CONNECT
0GDH,GROSS DOMESTIC HAPPINESS
0GEOTR,GEOMETRY AND TRIGONOMETRY
0GER,GERMAN
0GERF,GERMAN FULL
0GERH,GERMAN HALF
0GERX,GERMAN EXTENSION
0GRKH,GREEK HALF
0HFPP,HUMOUR AND FIRST PERSON TEXT
0HLIF,HEALTHY LIFESTYLES
0HORF,HORTICULTURE
0HORS,HORTICULTURE
0HPE,HEALTH AND PHYSICAL EDUCATION
0HPE1,HEALTH AND PHYSICAL EDUCATION
0HPE2,HEALTH AND PHYSICAL EDUCATION (SEM 2)
0HUM,HUMANITIES
0HUME,HISTORY
0HUML,HISTORY
0HUMO,HISTORY
0HUMP,HISTORY
0HUMX,HUMANITIES
0HUMY,HUMANITIES
0HUMZ,HUMANITIES
0ICT,INFORMATION TECHNOLOGY
0ICT1,INFO COM TECH
0ICTF,INFO COM TECH
0ICTS,INFO COM TECH
