Subject Code,Subject Name
0DTPRO,Digital Products
0MDAN,Media Arts Animation
0MDFL,Media Arts Film & Cinematography
1ABGMS,SAASTA Aboriginal Studies
1ABGSS,SAASTA Aboriginal Studies
1IESDPUB,Digital Publishing
1ILNDN1,Dance (Integrated Learning)
1MRSJ,Material Solutions with Jewlery
1PL,PLP (Special Education)
1PLPE,Personal Learning Plan
1PLPO,Personal Learning Plan
1PLPP1,Personal Learning Plan
2RP,Research Project (Special Education)
7ART,Visual Arts
7CARE,Care
7DPD,Digital Products
7DRA,Drama
7DTE,Digital Technology
7EAL,English as a Sec Lang
7ENGE,English
7ENGL,English
7ENG,English
7ENGP,English
7FOD,Food and Nutrition
7HPE,Health and Physical Education
7HUME,Humanities
7HUML,Humanities
7HUM,Humanities
7HUMP,Humanities
7ITA,Italian
7LITAF,Literacy (ATSI Focus)
7LITP,Literacy
7LNSP,Learning Support
7MTHE,Mathematics
7MTHL,Mathematics
7MTH,Mathematics
7MTHP,Mathematics
7MUS,Music
7PD,Personal Development
7SCIE,Science
7SCIL,Science
7SCI,Science
7SCIP,Science
7TECH,Design & Technology
8EAL,English as a Sec Lang
9MDFL,Media Arts Film & Cinematography
9PGHD,Digital Photography
SC3HUM,SC3 Humanities
SC3HWB,SC3 Health & Wellbeing
SC4DTE,SC4 Design Tech
SC4ENG,SC4 English
SC4LCU,SC4 Language & Culture
SC4MTH,SC4 Mathematics
SC4SC,SC4 Society & Culture
SC4SCI,SC4 Scientific Studies
SU2FD,SU2 Food Technology
SU3CXD,SU3 Cross Disciplinary Studies
SU3SCI,SU3 Scientific Studies
1CARESW,Care SWD
1PDSW,Personal Development SWD
2CARESW,Care SWD
2PDSW,Personal Development SWD
