Subject Code,Subject Name
0CARE,Care
0FODA,Food & Nutrition
0MDNM,Material Design with Metal
0MDTW,Material Design with Wood
1CARE,Care
1CVA,Creative Arts - Music
1ETEEAL,Essential English (EALD)
1HEW,Health & Wellbeing
1ILNSP,Stage Production (Integrated Leaning)
1MAMSP,Specalist Mathematics
1MEM,Essential Mathematics (Vocational)
1MRSM,Material Solutions with Metal
1MRSW,Material Soluctions with Wood
1MXE,Music Experience
1PPP,Politics Power and People
2CARE,Care
2CVAMU,Creative Arts (Music Focus)
2IESMW,Material Products with Metal
2ILASS,Sport Health & Physical Act
2ILBPWR,SAASTA (Integrated Learning)
2ILBSP,Stage Production (Integrated Learning)
2ILNMTH,Math Skills for Life
2PPP,Politics Power and People
8ART,Visual Arts
8CARE,Care
8LITAF,Literacy (ATSI Focus)
9CARE,Care
9MDNM,Material Design with Metal
9MDNW,Material Design with Wood
