Name,Code 
07 Care Group,7CARE
07 Dance,7DAN
07 Design & Technology,7TECH
07 Digital Products,7DPD
07 Digital Technology,7DTE
07 Drama,7DRA
07 English as a Sec Lang A,7EALA
07 English as a Sec Lang B,7EALB
07 English L1,7ENGL1
07 English L2,7ENGL2
07 English O,7ENGO
07 English P,7ENGP
07 Food and Nutrition,7FOD
07 Health and Physical Education,7HPE
07 Humanities E,7HUME
07 Humanities L,7HUML
07 Humanities O,7HUMO
07 Humanities P,7HUMP
07 Italian,7ITA
07 Italian (Optional),7ITAO
07 Learning Support,7LNSP
07 Literacy (ATSI Focus),7LITAF
07 Literacy P,7LITP
07 Mathematics E,7MTHE
07 Mathematics L1,7MTHL1
07 Mathematics L2,7MTHL2
07 Mathematics O,7MTHO
07 Mathematics P,7MTHP
07 Music,7MUS
07 Personal Development,7PDV
07 Science E,7SCIE
07 Science L1,7SCIL1
07 Science L2,7SCIL2
07 Science O,7SCIO
07 Science P,7SCIP
07 Visual Arts,7ART
SJ CREATIVE ARTS,SJAT
SJ DESIGN TECHNOLOGY,SJDN
SJ ENGLISH,SJEG
SJ FOOD,SJFO
SJ HEALTH AND PE,SWDPE1
SJ HUMANITIES,SJHUM
SJ MATHEMATICS,SJMA
SJ PERFORMING ARTS,SJPERF
SJ SCIENCE,SJSC
SJU CREATIVE ARTS,SJUAR
SJU ENGLISH,SJUEG
SJU FOOD,SJUFD
SJU HEALTH AND PE,SWDPE2
SJU HUMANITIES,SJUHUM
SJU MATHEMATICS,SJUMTH
SJU PERFORMING ARTS,SJUPERF
SJU SCIENCE,SJUSCI
08 Care Group,8CARE
08 Dance,8DAN
08 Digital Products,8DPD
08 Digital Technology,8DTE
08 Drama,8DRA
08 English as a Sec Lang A,8EALA
08 English as a Sec Lang B,8EALB
08 English L1,8ENGL1
08 English L2,8ENGL2
08 English O,8ENGO
08 English P,8ENGP
08 Food and Nutrition,8FOD
08 Health and Physical Education,8HPE
08 Hum E Term,8HUMTE
08 Hum L Term,8HUMTL
08 Hum O Term,8HUMTO
08 Hum P Term,8HUMTP
08 Humanities E,8HUME
08 Humanities L,8HUML
08 Humanities O,8HUMO
08 Humanities P,8HUMP
08 Italian,8ITA
08 Italian Extra Optional,8ITAO
08 Learning Support,8LNSP
08 Literacy (ATSI Focus),8LITAF
08 Literacy P,8LITP
08 Materials Design with Metal,8MDNM
08 Materials Design with Wood,8MDNW
08 Mathematics E,8MTHE
08 Mathematics L1,8MTHL1
08 Mathematics L2,8MTHL2
08 Mathematics O,8MTHO
08 Mathematics P,8MTHP
08 Media Arts,8MART
08 Music,8MUS
08 Personal Development,8PDV
08 Science E,8SCIE
08 Science L1,8SCIL1
08 Science L2,8SCIL2
08 Science O,8SCIO
08 Science P,8SCIP
08 Visual Arts,8ART
SJ CREATIVE ARTS,SJAT
SJ DESIGN TECHNOLOGY,SJDN
SJ ENGLISH,SJEG
SJ FOOD,SJFO
SJ HEALTH AND PE,SWDPE1
SJ HUMANITIES,SJHUM
SJ MATHEMATICS,SJMA
SJ PERFORMING ARTS,SJPERF
SJ SCIENCE,SJSC
SJU CREATIVE ARTS,SJUAR
SJU ENGLISH,SJUEG
SJU FOOD,SJUFD
SJU HEALTH AND PE,SWDPE2
SJU HUMANITIES,SJUHUM
SJU MATHEMATICS,SJUMTH
SJU PERFORMING ARTS,SJUPERF
SJU SCIENCE,SJUSCI
SWDARTS2,SWDARTS2
SWDARTS,SWDARTS
09 Literacy P,9LITP
09 Learning Support,9LNSP
09 Visual Art,9ART
09 Creative Food for Life,9CR8FD
09 Dance,9DAN
09 Digital Products,9DGPRO
09 Drama,9DRA
09 Digital Technology,9DTE
09 English,9ENG
09 Engineering Tech,9ENGTEC
09 English as an Additional Language,9ESLB
09 Food & Nutrition,9FODN
09 Humanities,9HUM
09 Italian,9ITA
09 Media Arts Animation,9MDAN
09 Media Arts Film & Cinematography,9MDFL
09 Material Design with Metal,9MDNM
09 Material Design with Wood,9MDNW
09 Mathematics,9MTH
09 Music,9MUS
09 Personal Development,9PD
09 Digital Photography,9PGHD
09 Health and Physical Education,9PHE
09 Science,9SCI
10 Learning Support,0LNSP
10 3D Modelling,03DM
10 Visual Art A,0ARTA
10 Visual Art B,0ARTB
10 Civics Citizenship Economics,0CIV
10 Creative Writing,0CR8WTG
10 Dance A,0DANA
10 Dance B,0DANB
10 Drama A,0DRAA
10 Drama B,0DRAB
10 Digital Technology,0DTE
10 Digital Products,0DTPRO
10 English,0ENG
10 Engineering Technology,0ENTEC
10 English as an Additional Language,0EAL
10 Food Innovation,0FDINV
10 Food & Nutrition,0FODA
10 Humanities,0HUM
10 Italian,0ITA
10 Italian (Beginners),0ITABGN
10 Jewellery Design,0JEW
10 Media Arts Animation,0MDAN
10 Media Arts Film & Cinematography,0MDFL
10 Material Design with Metal,0MDNM
10 Material Design with Wood,0MDTW
10 Mathematics,0MTH
10 Mathematics A,0MTHA
10 Music A,0MUSA
10 Music B,0MUSB
10 Digital Photography,0PGHD
10 Health and Physical Education 1,0PHE1
10 Health and Physical Education 2,0PHE2
10 Science,0SCI
10 SAASTA Aboriginal Studies,1ABGMS
10 SAASTA Shield,1CXDSTMS
11 Personal Learning Plan,1PLP
11 SAASTA Aboriginal Studies,1ABGSS
11 SAASTA Shield,1CXDSTSS
11 Biology A,1BGYA
11 Biology B,1BGYB
11 Chemistry A,1CEM1
11 Chemistry B,1CEM2
11 Child Studies A,1CSDA
11 Child Studies B,1CSDB
11 Creative Arts - Music,1CVA
11 Photography A,1DCSPHA
11 Photography B,1DCSPHB
11 English as an Additional Language 1,1EAL1
11 English as an Additional Language 2,1EAL2
11 English 1,1EGH1
11 English 2,1EGH2
11 Essential English 1,1ETE1
11 Essential English 2,1ETE2
11 Essential English (EALD) 1,1ETEEAL1
11 Essential English (EALD) 2,1ETEEAL2
11 Essential English (Literacy) 1,1ETELT1
11 Essential English (Literacy) 2,1ETELT2
11 Food and Hospitality,1FOH
11 Health & Wellbeing A,1HEWA
11 Health & Wellbeing B,1HEWB
11 Positive Education,1HEWPED
11 Digital Publishing,1IESDPUB
11 Dance (Integrated Learning),1ILNDN1
11 Stage Production (Integrated Leaning),1ILNSP
11 Numeracy Development,1ILNUM
11 Italian (Beginners),1ITB
11 Specalist Mathematics A,1MAMSPA
11 Specalist Mathematics B,1MAMSPB
11 Mathematical Methods A,1MAMA
11 Mathematical Methods B,1MAMB
11 Essential Mathematics (Vocational) 1,1MEM1
11 Essential Mathematics (Vocational) 2,1MEM2
11 Essential Mathematics (Numeracy),1MEMN
11 General Mathematics A,1MGMA
11 General Mathematics B,1MGMB
11 Modern History,1MOD
11 Food Innovation,1MRSFD
11 Material Solutions with Jewlery,1MRSJ
11 Material Solutions with Metal,1MRSM
11 Material Soluctions with Wood,1MRSW
11 Music Experience A,1MXEA
11 Music Experience B,1MXEB
11 Nutrition A,1NUTA
11 Nutrition B,1NUTB
11 Outdoor Education A,1OUTA
11 Outdoor Education B,1OUTB
11 Physical Education A,1PHDA
11 Physical Education B,1PHDB
11 Sport Health & Physical Act A,1ILASSA
11 Sport Health & Physical Act B,1ILASSB
11 Politics Power and People,1PPP
11 Philosophy,1PPS
11 Psychology A,1PSCA
11 Psychology B,1PSCB
11 Physics A,1PYI1
11 Physics B,1PYI2
11 Robotic and Electronic Systems A,1RESA
11 Robotic and Electronic Systems B,1RESB
11 Society and Culture,1SOR
11 Scientific Studies A,1STUA
11 Scientific Studies B,1STUB
11 Tourism,1TOS
11 Art Practical A,1VAAA
11 Art Practical B,1VAAB
12 Biology,2BGY
12 Chemistry,2CEM
12 Child Studies,2CSD
12 Creative Arts (Music Focus),2CVAMU
12 Cultural Explorations,2CXDCE
12 Construction Technology,2CXDCT
12 Digital Photography,2DCSDPH
12 English as an Additional Language,2EAL
12 English,2ESH
12 Essential English,2ETE
12 Food & Hospitality Studies,2FOH
12 Health and Wellbeing,2HEW
12 Digital Products,2IESDPR
12 Food Innovation,2IESFD
12 Sport Health & Physical Act,2ILASS
12 SAASTA (Integrated Learning),2ILBPWR
12 Stage Production (Integrated Learning),2ILBSP
12 Urban Street & Community Art,2ILNAT
12 Math Skills for Life,2ILNMTH
12 Psychology (Integrated Learning),2ILNPSC
12 Science & Healthy Lifestyle (Integrated Learning),2ILSC
12 Essential Mathematics,2MEM
12 General Mathematics,2MGM
12 Mathematical Methods,2MHS
12 Material Products with Metal,2IESMW
12 Furniture Construction,2MRSW
12 Specialist Mathematics,2MSC
12 Physical Education,2PHD
12 Politics Power and People,2PPP20
12 Political Philosophy,2ILPP
12 Philosophy,2PPS
12 Psychology,2PSC
12 Physics,2PYI
12 Robotic and Electronic Systems,2RES20
12 Research Project A,2RPJ1A
12 Research Project B,2RPJ1B
12 Research Project,2RPJ1B1
12 Society & Culture,2SOR
12 Scientific Studies,2STU
12 Visual Arts - Art,2VAA
12 Workplace Practices,2WPC
Certificate II Electrotechnology,V2ELETECH
Certificate II Plumbing,V2Plumb
Certificate III Business,V3Business
Certificate III Early Childhood,V3ECHEDU
V1AUTSV Certificate I Automotive,V1AUTSV
V2 Kitchen Ops,V2HOSKITOP
V2Animal,V2Animal
V2Auto,V2AUTO
V2Construct,V2ConPaint
V2ENGPT Certificate II Engineering,V2ENGPT
V2FoodPro,V2FoodPro
V2Salon Assist,V2Salon
V3Brick Brick and Block,V3BRICK
V3Carp Carpentry,V3CARP
V3CERT III HEALTH SERVICES Yr 1,V3HEALTH1
V3Health Services Yr2,V3Health2
V3IT Certificate III IT,V3IT
V3Plumb V3Plumbing,V3Plumb
