Subject Code,Subject Name
SJAT,SJ CREATIVE ARTS
SJDN,SJ DESIGN TECHNOLOGY
SJEG,SJ ENGLISH
SJHUM,SJ HUMANITIES
SJMA,SJ MATHEMATICS
SJPERF,SJ PERFORMING ARTS
SJSC,SJ SCIEN
SJUAR,SJU CREATIVE ARTS
SJUEG,SJU ENGLISH
SJUFD,SJU FOOD
SJUHUM,SJU HUMANITIES
SJUMTH,SJU MATHEMATICS
SJUPERF,SJU PERFORMING ARTS
SJUSCI,SJU SCIEN
8HUMTE,Hum E Term
8HUMTL,Hum L Term
8HUMTO,Hum O Term
8HUMTP,Hum P Term
8LITAF,Literacy (ATSI Focus)
8ART,Visual Arts
9MDNM,Material Design with Metal
9MDNW,Material Design with Wood
03DM,3D Modelling
0FODA,Food & Nutrition
0MDNM,Material Design with Metal
0MDTW,Material Design with Wood
1CVA,Creative Arts - Music
1ETEEAL,Essential English (EALD)
1HEW,Health & Wellbeing
1ILNSP,Stage Production (Integrated Leaning)
1MAMSP,Specalist Mathematics
1MEM,Essential Mathematics (Vocational)
1MRSM,Material Solutions with Metal
1MRSW,Material Soluctions with Wood
1MXE,Music Experience
1PPP,Politics Power and People
2CVAMU,Creative Arts (Music Focus)
2ILASS,Sport Health & Physical Act
2ILBPWR,SAASTA (Integrated Learning)
2ILBSP,Stage Production (Integrated Learning)
2ILNMTH,Math Skills for Life
2ILNPSC,Psychology (Integrated Learning)
2IESMW,Material Products with Metal
V3ECHEDU,Certificate III Early Childhood
V2AUTO,V2Auto
V3BRICK,V3Brick Brick and Block
V3CARP,V3Carp Carpentry
V3IT,V3IT Certificate III IT
