No,Name,Code ,BOS Code,Sub-Grids,Units,Gender,Max Class,Corresponding Lines,Same Students
5,11 SAASTA Aboriginal Studies,1ABGSS,,1,1,Both,Nil Max,,
6,11 SAASTA Shield,1CXDSTSS,,1,1,Both,Nil Max,,
8,11 Biology A,1BGYA,,1,1,Both,Nil Max,,
9,11 Biology B,1BGYB,,1,1,Both,Nil Max,,
10,11 Chemistry A,1CEM1,,1,1,Both,Nil Max,,
11,11 Chemistry B,1CEM2,,1,1,Both,Nil Max,,
12,11 Child Studies A,1CSDA,,1,1,Both,25,,
13,11 Child Studies B,1CSDB,,1,1,Both,Nil Max,,
14,11 Creative Arts - Music,1CVA,,1,1,Both,Nil Max,,
15,11 Photography A,1DCSPHA,,1,1,Both,Nil Max,,
16,11 Photography B,1DCSPHB,,1,1,Both,Nil Max,,
17,11 English as an Additional Language 1,1EAL1,,1,1,Both,Nil Max,,
18,11 English as an Additional Language 2,1EAL2,,1,1,Both,Nil Max,,
19,11 English 1,1EGH1,,1,1,Both,26,,
20,11 English 2,1EGH2,,1,1,Both,26,,
21,11 Essential English 1,1ETE1,,1,1,Both,26,,
22,11 Essential English 2,1ETE2,,1,1,Both,26,,
23,11 Essential English (EALD) 1,1ETEEAL1,,1,1,Both,Nil Max,,
24,11 Essential English (EALD) 2,1ETEEAL2,,1,1,Both,Nil Max,,
25,11 Essential English (Literacy) 1,1ETELT1,,1,1,Both,Nil Max,,
26,11 Essential English (Literacy) 2,1ETELT2,,1,1,Both,Nil Max,,
27,11 Food and Hospitality,1FOH,,1,1,Both,30,,
28,11 Health & Wellbeing A,1HEWA,,1,1,Both,28,,
29,11 Health & Wellbeing B,1HEWB,,1,1,Both,26,,
30,11 Positive Education,1HEWPED,,1,1,Both,Nil Max,,
31,11 Digital Publishing,1IESDPUB,,1,1,Both,Nil Max,,
32,11 Dance (Integrated Learning),1ILNDN1,,2,1,Both,Nil Max,Yes,Yes
33,11 Stage Production (Integrated Leaning),1ILNSP,,2,1,Both,Nil Max,Yes,Yes
34,11 Numeracy Development,1ILNUM,,1,1,Both,Nil Max,,
35,11 Italian (Beginners),1ITB,,2,1,Both,Nil Max,Yes,Yes
36,11 Specalist Mathematics A,1MAMSPA,,1,1,Both,Nil Max,,
37,11 Specalist Mathematics B,1MAMSPB,,1,1,Both,Nil Max,,
38,11 Mathematical Methods A,1MAMA,,1,1,Both,Nil Max,,
39,11 Mathematical Methods B,1MAMB,,1,1,Both,Nil Max,,
40,11 Essential Mathematics (Vocational) 1,1MEM1,,1,1,Both,26,,
41,11 Essential Mathematics (Vocational) 2,1MEM2,,1,1,Both,26,,
42,11 Essential Mathematics (Numeracy),1MEMN,,1,1,Both,24,,
43,11 General Mathematics A,1MGMA,,1,1,Both,27,,
44,11 General Mathematics B,1MGMB,,1,1,Both,24,,
45,11 Modern History,1MOD,,1,1,Both,Nil Max,,
46,11 Food Innovation,1MRSFD,,1,1,Both,Nil Max,,
47,11 Material Solutions with Jewlery,1MRSJ,,1,1,Both,Nil Max,,
48,11 Material Solutions with Metal,1MRSM,,1,1,Both,20,,
49,11 Material Soluctions with Wood,1MRSW,,1,1,Both,20,,
50,11 Music Experience A,1MXEA,,1,1,Both,Nil Max,,
51,11 Music Experience B,1MXEB,,1,1,Both,Nil Max,,
52,11 Nutrition A,1NUTA,,1,1,Both,Nil Max,,
53,11 Nutrition B,1NUTB,,1,1,Both,Nil Max,,
54,11 Outdoor Education A,1OUTA,,1,1,Both,23,,
55,11 Outdoor Education B,1OUTB,,1,1,Both,23,,
56,11 Physical Education A,1PHDA,,1,1,Both,23,,
57,11 Physical Education B,1PHDB,,1,1,Both,23,,
58,11 Sport Health & Physical Act A,1ILASSA,,1,1,Both,Nil Max,,
59,11 Sport Health & Physical Act B,1ILASSB,,1,1,Both,Nil Max,,
60,11 Politics Power and People,1PPP,,1,1,Both,Nil Max,,
61,11 Philosophy,1PPS,,1,1,Both,Nil Max,,
62,11 Psychology A,1PSCA,,1,1,Both,Nil Max,,
63,11 Psychology B,1PSCB,,1,1,Both,Nil Max,,
64,11 Physics A,1PYI1,,1,1,Both,Nil Max,,
65,11 Physics B,1PYI2,,1,1,Both,Nil Max,,
66,11 Robotic and Electronic Systems A,1RESA,,1,1,Both,Nil Max,,
67,11 Robotic and Electronic Systems B,1RESB,,1,1,Both,Nil Max,,
68,11 Society and Culture,1SOR,,1,1,Both,Nil Max,,
69,11 Scientific Studies A,1STUA,,1,1,Both,Nil Max,,
70,11 Scientific Studies B,1STUB,,1,1,Both,Nil Max,,
71,11 Tourism,1TOS,,1,1,Both,Nil Max,,
72,11 Art Practical A,1VAAA,,1,1,Both,Nil Max,,
73,11 Art Practical B,1VAAB,,1,1,Both,Nil Max,,
74,12 Biology,2BGY,,2,1,Both,Nil Max,Yes,Yes
75,12 Chemistry,2CEM,,2,1,Both,Nil Max,Yes,Yes
76,12 Child Studies,2CSD,,2,1,Both,Nil Max,Yes,Yes
77,12 Creative Arts (Music Focus),2CVAMU,,2,1,Both,Nil Max,Yes,Yes
78,12 Cultural Explorations,2CXDCE,,2,1,Both,Nil Max,Yes,Yes
79,12 Construction Technology,2CXDCT,,2,1,Both,Nil Max,Yes,Yes
