,StudentID,Year,Pref 1,Pref 2,Pref 3,Pref 4,Pref 5,Pref 6,Pref 7,Pref 8,Pref 9,Pref 10,Pref 11,Pref 12,Pref 13,Pref 14,Pref 15
0,180030,11,1CARE,,,,,,,,,,,,,,
1,180033,11,2CARE,2IESMW,2MRSW,2PD,2RPJ,V3CARP,,,,,,,,,
2,180039,11,2CARE,2PD,,,,,,,,,,,,,
3,180081,11,2CARE,2ILASS,2MRSW,2PD,2PHD,2RPJ,,,,,,,,,
4,190004,11,1CARE,1PD,1ETELT,1MEMN,1MOD,1MRSJ,1STU,1CSD,1FOH,,,,,,
5,190006,11,1CARE,1PD,V2ENGINE,XTPST,1EGH,1MAM,1MRSW,1PYI,,,,,,,
6,190007,11,1CARE,1PD,2ILBPWR,1ETELT,1FOH,1MEMN,1PHD,1HEWPED,1OUT,,,,,,
7,190008,11,1CARE,1PD,1ETELT,1MEMN,1OUT,1PHD,1FOH,1MRSM,1MRSW,,,,,,
8,190010,11,1CARE,1PD,1ETELT,1FOH,1MGM,1MOD,1OUT,1PHD,1HEWPED,1MRSFD,,,,,
9,190012,11,1CARE,1PD,1ETE,1FOH,1HEW,1MEM,1PSC,1CSD,1HEWPED,2RPJ,,,,,
10,190013,11,1CARE,1PD,1EGH,1MGM,1OUT,1RES,1STU,1PHD,2RPJ,,,,,,
11,190014,11,1CARE,1PD,V2CON,1ETE,1MEMN,1MRSW,1PHD,1MRSM,1OUT,,,,,,
12,190016,11,1CARE,1PD,1ETE,1HEW,1MEM,1OUT,1PHD,2RPJ,,,,,,,
13,190017,11,1CARE,1PD,V2CON,1ETE,1MEM,1MRSW,1PHD,,,,,,,,
14,190018,11,1CARE,1PD,1CEM,1EGH,1IESDPRO,1MGM,1MOD,1PSC,1SOR,2RPJ,,,,,
15,190020,11,1CARE,1PD,V2CON,1ETELT,1MEMN,1MRSW,1MRSM,1OUT,,,,,,,
16,190021,11,1CARE,1PD,V3HESER,1BGY,1CSD,1EGH,1MGM,1PSC,,,,,,,
17,190025,11,1CARE,1PD,2ILBPWR,1EGH,1MGM,1STU,1VAA,1SOR,2RPJ,,,,,,
18,190026,11,1CARE,1PD,2ILBPWR,1ETELT,1MEM,1PHD,1HEW,1MRSW,,,,,,,
19,190031,11,1CARE,1PD,1ETELT,1IESDPRO,1MEM,1HEW,1MEMN,1MRSW,1PHD,,,,,,
20,190035,11,1CARE,1PD,V2ELEC,1EGH,1MGM,1MRSM,1PHD,1ETE,1MRSW,,,,,,
21,190036,11,1CARE,1PD,V2ELEC,1ETE,1MGM,1OUT,1PHD,1MRSW,,,,,,,
22,190037,11,1CARE,1PD,1BGY,1CEM,1ETE,1MAM,1OUT,1PYI,2RPJ,,,,,,
23,190039,11,1CARE,1PD,V2ENGINE,1ETE,1FOH,1MEM,1PHD,1MRSW,,,,,,,
24,190041,11,1CARE,1PD,V2CON,1ETE,1MEM,1MRSW,1PHD,1MRSM,1OUT,,,,,,
25,190042,11,1CARE,1PD,V2AUTO,1ETELT,1PHD,1MRSM,1MRSW,,,,,,,,
26,190043,11,1CARE,1PD,V2PLUMB,1ETELT,1MEMN,1MRSM,1OUT,1FOH,1MRSW,,,,,,
27,190044,11,V2CON,,,,,,,,,,,,,,
28,190045,11,1CARE,1PD,1EGH,1MEMN,1MOD,1MRSJ,1PSC,1MRSFD,1SOR,1VAA,,,,,
29,190046,11,1CARE,1PD,XTPST,1CSD,1EGH,1MGM,1MOD,1PPP,1PSC,2RPJ,,,,,
30,190048,11,1CARE,1PD,1CEM,1ETE,1MEM,1PSC,1STU,1SOR,2RPJ,,,,,,
31,190049,11,1CARE,1PD,1EGH,1IESDPRO,1MGM,1PPP,1PSC,1ETE,1PPS,,,,,,
32,190050,11,1CARE,1PD,1EGH,1MGM,1MRSM,1MRSW,1NUT,1VAA,1FOH,1MRSFD,1PHD,2RPJ,,,
33,190052,11,1CARE,1PD,1EGH,1MGM,1MRSM,1PHD,1PSC,1MRSW,1OUT,2RPJ,,,,,
34,190054,11,1CARE,1EPM1,1LAM1,1MPM1,1PD,1PLM1,1SFM1,1SOM1,1DTM,1HWM1,,,,,
35,190055,11,1CARE,1PD,1EGH,1FOH,1MGM,1NUT,1PHD,1MRSFD,1MRSW,,,,,,
36,190056,11,1CARE,1PD,1EGH,1MEMN,1MRSJ,1STU,1CSD,1ETE,1FOH,1MRSFD,,,,,
37,190057,11,1CARE,1PD,1EGH,1ETELT,1MEMN,1MOD,1MRSJ,1STU,1MRSFD,1SOR,1VAA,,,,
38,190059,11,1CARE,1PD,V2CON,1EAL,1MGM,1PHD,1STU,1MRSM,1MRSW,,,,,,
39,190060,11,1CARE,1PD,1DCSPH,1EGH,1IESDPRO,1MGM,1PPP,1STU,1CSD,1SOR,2RPJ,,,,
40,190065,11,1CARE,1PD,1BGY,1CSD,1EAL,1MGM,1MRSJ,2RPJ,,,,,,,
41,190066,11,1CARE,1PD,V2CON,1ETE,1MAM,1OUT,1STU,1MEMN,1MRSW,,,,,,
42,190067,11,1CARE,1CVM2,1EPM2,1MPM2,1PD,1PLM1,1SFM2,1SOM2,SU2FD,SU2DTE,,,,,
43,190068,11,1CARE,1EPM2,1HWM1,1MPM2,1PD,1PLM1,1SFM1,1SOM2,SC3ARTS,,,,,,
44,190070,11,1CARE,1PD,1CSD,1ETE,1MEM,1NUT,1OUT,1PHD,2RPJ,,,,,,
45,190071,11,1CARE,1EPM2,1LAM1,1MPM2,1PD,1PLM1,1SFM1,1SOM1,1DTM,1HWM1,,,,,
46,190074,11,1CARE,1PD,1ETE,1IESDPRO,1MEMN,1DCSPH,1MRSW,1VAA,,,,,,,
47,190075,11,1CARE,1PD,1EGH,1MGM,1MRSW,1OUT,1PHD,1ETE,1FOH,2RPJ,,,,,
48,190076,11,1CARE,1PD,V2CON,1ETE,1MEM,1PHD,1MRSM,1MRSW,,,,,,,
49,190078,11,1CARE,1PD,1DCSPH,1ETE,1IESDPRO,1MEM,1OUT,1FOH,1HEWPED,1MRSW,,,,,
50,190079,11,1CARE,1PD,1DCSPH,1ETE,1IESDPRO,1MEM,1MOD,1FOH,1HEW,1HEWPED,,,,,
51,190080,11,1CARE,1PD,V2CON,1DCSPH,1ETE,1MEMN,1PHD,1MRSM,1MRSW,,,,,,
52,190081,11,1CARE,1PD,1BGY,1CEM,1EGH,1MAM,1PYI,1MGM,2RPJ,,,,,,
53,190083,11,1CARE,1PD,1BGY,1ETE,1MGM,1PHD,1ETELT,,,,,,,,
54,190085,11,1CARE,1PD,XTPST,1BGY,1EGH,1HEW,1MEMN,1PPP,1PSC,1PPS,1SOR,2RPJ,,,
55,190086,11,1CARE,1PD,V2AUTO,1ETE,1MEM,1PHD,1MRSM,1MRSW,,,,,,,
56,190087,11,1CARE,1PD,1DCSPH,1EGH,1MGM,1MOD,1PSC,1CSD,1ETE,1STU,2RPJ,,,,
57,190088,11,1CARE,1PD,1ETE,1MEMN,1MRSM,1NUT,1OUT,1PHD,1MRSW,1STU,,,,,
58,190089,11,1CARE,1PD,1ETELT,1MEMN,1MOD,1OUT,1PHD,1VAA,1FOH,1HEW,1MRSFD,,,,
59,190090,11,1CARE,1PD,1EGH,1MAM,1MRSW,1PSC,1PYI,1OUT,2RPJ,,,,,,
60,190091,11,1CARE,1PD,1PLP,1ETE,1MEM,1ETELT,,,,,,,,,
