,StudentID,Year,Pref 1,Pref 2,Pref 3,Pref 4,Pref 5,Pref 6,Pref 7,Pref 8,Pref 9,Pref 10,Pref 11,Pref 12,Pref 13,Pref 14,Pref 15
144,200000,10,0CARE,0PD,1EPM1,1HWM1,SC2MTH,SC3ARTS,SC3HUM,SC3SCI,SWDPE,,,,,,
145,200001,10,0CARE,0ENG,0MTH,0PD,0SCI,0ARTA,0HPE,0MDTW,1PLP,0HPE,0HUM,0JEW,0MDNM,,
146,200002,10,0CARE,0ENG,0MTH,0PD,0SCI,0CIV,0HPE,0HUM,0MUSA,0HPE,0MUSB,1PLP,,,
147,200003,10,0CARE,0ENG,0MTH,0PD,0SCI,0CIV,0HPE,0MDNM,1PLP,0FDINV,0FODA,0HPE,0HUM,,
148,200004,10,0CARE,0ENG,0MTH,0PD,0SCI,0FODA,0HPE,0HUM,0MDNM,0FDINV,0HPE,0MDTW,1PLP,,
149,200005,10,0CARE,0ENG,0MTH,0PD,0SCI,0ENTEC,0HPE,0HUM,0MDNM,0HPE,0JEW,0MDTW,1PLP,,
150,200006,10,0CARE,0ENG,0MTH,0PD,0SCI,0DANA,0HUM,0PGH,0HPE,0MTHA,1PLP,,,,
151,200008,10,0CARE,0ENG,0MTH,0PD,0SCI,0HPE,0HUM,0MDTW,0PGH,0ARTB,0FODA,0HPE,1PLP,,
152,200009,10,0CARE,,,,,,,,,,,,,,
153,200010,10,0CARE,0ENG,0MTH,0PD,0SCI,0DANA,0HPE,0HUM,0MUSA,0DANB,0DRAB,0JEW,1PLP,,
154,200011,10,0CARE,0ENG,0MTH,0PD,0SCI,0HPE,0HUM,0MDNM,0PGH,0FDINV,0FODA,0HPE,1PLP,,
155,200012,10,0CARE,0ENG,0MTH,0PD,0SCI,0HPE,0HUM,0MDTW,0MUSA,0CIV,0FODA,0MUSB,1PLP,,
156,200014,10,0CARE,0ENG,0MTH,0PD,0SCI,0FODA,0HPE,0MDNM,1PLP,0CR8WTG,0HPE,0HUM,0MDTW,,
157,200015,10,0CARE,0ENG,0MTH,0PD,0SCI,0CIV,0HPE,0HUM,0MDNM,0FDINV,0FODA,0HPE,1PLP,,
158,200016,10,0CARE,0ENG,0MTH,0PD,0SCI,0HPE,0HUM,0MUSA,0CIV,0MTHA,1PLP,,,,
159,200017,10,0CARE,0ENG,0MTH,0PD,0SCI,0HPE,0HUM,0MDNM,0MUSA,0FODA,0HPE,0MDTW,1PLP,,
160,200018,10,0CARE,0ENG,0MTH,0PD,0SCI,0HPE,0HUM,0MDFL,0MUSA,0FODA,0MUSB,0PGH,1PLP,,
161,200019,10,0CARE,0PD,1EPM1,1LAM1,1MPM1,1SOM1,1DTM,SC4SCI,SWDPE,1HWM1,,,,,
162,200020,10,0CARE,0EALA,0MTH,0PD,0SCI,0DTPRO,0HPE,0HUM,0MDFL,0CIV,0FODA,0MTHA,1PLP,,
163,200021,10,0CARE,0ENG,0MTH,0PD,0SCI,0ABEX,0ARTA,0HPE,1PLP,0FODA,0HPE,0HUM,,,
164,200023,10,0CARE,0ENG,0MTH,0PD,0SCI,0HPE,0MDNM,0MDTW,1PLP,0ARTB,0FDINV,0HUM,0JEW,,
