StudentID,YearLevel,SubjectCode,AcademicPeriod
180030,11,1CARE,0
180033,11,2CARE,0
180033,11,2IESMW,0
180033,11,2MRSW,0
180033,11,2PD,0
180033,11,2RPJ1,5
180033,11,V3CARP,5
180039,11,2CARE,0
180039,11,2PD,0
180081,11,2CARE,0
180081,11,2ILASS,0
180081,11,2MRSW,0
180081,11,2PD,0
180081,11,2PHD,0
180081,11,2RPJ1,5
190004,11,1CARE,0
190004,11,1CSD,6
190004,11,1ETELT,5
190004,11,1ETELT,6
190004,11,1FOH,6
190004,11,1ILNSP,0
190004,11,1MEMN,5
190004,11,1MOD,5
190004,11,1MRSJ,5
190004,11,1PD,0
190004,11,1STU,5
190006,11,1CARE,0
190006,11,1EGH,5
190006,11,1EGH,6
190006,11,1MAM,5
190006,11,1MAM,6
190006,11,1MRSW,5
190006,11,1PD,0
190006,11,1PYI,5
190006,11,1PYI,6
190006,11,V2ENGINE,0
190006,11,XTPST,0
190007,11,1CARE,0
190007,11,1CSD,6
190007,11,1ETELT,5
190007,11,1ETELT,6
190007,11,1FOH,5
190007,11,1MEMN,5
190007,11,1OUT,6
190007,11,1PD,0
190007,11,1PHD,5
190007,11,1PHD,6
190007,11,2ILBPWR,0
190007,11,LSUP,0
190008,11,1CARE,0
190008,11,1ETELT,5
190008,11,1ETELT,6
190008,11,1FOH,6
190008,11,1MEMN,5
190008,11,1MRSM,6
190008,11,1MRSW,6
190008,11,1OUT,5
190008,11,1OUT,6
190008,11,1PD,0
190008,11,1PHD,5
190010,11,1CARE,0
190010,11,1ETELT,5
190010,11,1ETELT,6
190010,11,1FOH,5
190010,11,1HEWPED,6
190010,11,1MGM,5
190010,11,1MGM,6
190010,11,1MOD,5
190010,11,1MRSFD,6
190010,11,1OUT,5
190010,11,1OUT,6
190010,11,1PD,0
190010,11,1PHD,5
190010,11,1PHD,6
190010,11,LSUP,0
190010,11,LSUP,0
190011,11,FLOCARE,0
190012,11,1CARE,0
190012,11,1CSD,6
190012,11,1CSD,6
190012,11,1ETE,5
190012,11,1ETE,6
190012,11,1FOH,5
190012,11,1HEW,5
190012,11,1HEWPED,6
190012,11,1MEM,5
190012,11,1PD,0
190012,11,1PSC,5
190012,11,1PSC,6
190012,11,2RPJ1,6
190013,11,1CARE,0
190013,11,1EGH,5
190013,11,1EGH,6
190013,11,1MGM,5
190013,11,1MGM,6
190013,11,1OUT,5
190013,11,1OUT,6
190013,11,1PD,0
190013,11,1PHD,6
190013,11,1RES,5
190013,11,1STU,5
190013,11,2RPJ1,6
190014,11,1CARE,0
190014,11,1ETE,5
190014,11,1ETE,6
190014,11,1MEMN,5
190014,11,1MRSM,6
190014,11,1MRSW,5
190014,11,1OUT,6
190014,11,1PD,0
190014,11,1PHD,5
190014,11,1PHD,6
190014,11,V2CON,0
190016,11,1CARE,0
190016,11,1ETE,5
190016,11,1ETE,6
190016,11,1HEW,5
190016,11,1HEW,6
190016,11,1MEM,5
190016,11,1OUT,5
190016,11,1OUT,6
190016,11,1PD,0
190016,11,1PHD,5
190016,11,1PHD,6
190016,11,2RPJ1,6
190017,11,1CARE,0
190017,11,1ETE,5
190017,11,1ETE,6
190017,11,1MEM,5
190017,11,1MEM,6
190017,11,1MRSW,5
190017,11,1PD,0
190017,11,1PHD,5
190017,11,V2CON,0
190018,11,1CARE,0
190018,11,1CEM,5
190018,11,1CEM,6
190018,11,1EGH,5
190018,11,1EGH,6
190018,11,1IESDPRO,5
190018,11,1MGM,5
190018,11,1MGM,6
190018,11,1MOD,5
190018,11,1PD,0
190018,11,1PSC,5
190018,11,1PSC,6
190018,11,1SOR,6
190018,11,2RPJ1,6
190020,11,1CARE,0
190020,11,1ETELT,5
190020,11,1ETELT,6
190020,11,1MEMN,5
190020,11,1MRSM,6
190020,11,1MRSW,5
190020,11,1OUT,6
190020,11,1PD,0
190020,11,V2CON,0
190021,11,1BGY,5
190021,11,1CARE,0
190021,11,1CSD,5
190021,11,1EGH,5
190021,11,1EGH,6
190021,11,1MGM,5
190021,11,1MGM,6
190021,11,1PD,0
190021,11,1PSC,6
190021,11,V3HESER,0
190025,11,1CARE,0
190025,11,1EGH,5
190025,11,1EGH,6
190025,11,1MGM,5
190025,11,1PD,0
190025,11,1SOR,6
190025,11,1STU,5
190025,11,1VAA,5
190025,11,1VAA,6
190025,11,2ILBPWR,0
190025,11,2RPJ1,6
190025,11,LSUP,0
190025,11,LSUP,0
190026,11,1CARE,0
190026,11,1ETELT,5
190026,11,1ETELT,6
190026,11,1HEW,6
190026,11,1MEM,5
190026,11,1MRSW,6
190026,11,1PD,0
190026,11,1PHD,5
190026,11,1PHD,6
190026,11,2ILBPWR,0
190026,11,LSUP,0
190026,11,LSUP,0
190026,11,LSUP,0
190026,11,LSUP,0
190027,11,FLOCARE,0
190031,11,1CARE,0
190031,11,1ETELT,5
190031,11,1ETELT,6
190031,11,1HEW,6
190031,11,1IESDPRO,5
190031,11,1MEM,5
190031,11,1MEMN,6
190031,11,1MRSW,6
190031,11,1PD,0
190031,11,1PHD,6
190031,11,TEAL,0
190035,11,1CARE,0
190035,11,1EGH,5
190035,11,1ETE,6
190035,11,1MGM,5
190035,11,1MGM,6
190035,11,1MRSM,5
190035,11,1MRSW,6
190035,11,1PD,0
190035,11,1PHD,5
190035,11,V2ELEC,0
190036,11,1CARE,0
190036,11,1ETE,5
190036,11,1ETE,6
190036,11,1MGM,5
190036,11,1MGM,6
190036,11,1MRSW,6
190036,11,1OUT,5
190036,11,1PD,0
190036,11,1PHD,5
190036,11,1PHD,6
190036,11,V2ELEC,0
190037,11,1BGY,5
190037,11,1BGY,6
190037,11,1CARE,0
190037,11,1CEM,5
190037,11,1CEM,6
190037,11,1ETE,5
190037,11,1ETE,6
190037,11,1MAM,5
190037,11,1MAM,6
190037,11,1OUT,5
190037,11,1PD,0
190037,11,1PYI,5
190037,11,1PYI,6
190037,11,2RPJ1,6
190039,11,1CARE,0
190039,11,1ETE,5
190039,11,1ETE,6
190039,11,1FOH,5
190039,11,1MEM,5
190039,11,1MRSW,6
190039,11,1PD,0
190039,11,1PHD,5
190039,11,1PHD,6
190039,11,V2ENGINE,0
190040,11,FLOCARE,0
190041,11,1CARE,0
190041,11,1ETE,5
190041,11,1ETE,6
190041,11,1MEM,5
190041,11,1MEM,6
190041,11,1MRSM,6
190041,11,1MRSW,5
190041,11,1OUT,6
190041,11,1PD,0
190041,11,1PHD,5
190041,11,V2CON,0
190042,11,1CARE,0
190042,11,1ETELT,6
190042,11,1ETELT,5
190042,11,1MRSM,6
190042,11,1MRSW,6
190042,11,1PD,0
190042,11,1PHD,5
190042,11,V2AUTO,0
190043,11,1CARE,0
190043,11,1ETELT,5
190043,11,1ETELT,6
190043,11,1FOH,6
190043,11,1MEMN,5
190043,11,1MRSM,5
190043,11,1MRSW,6
190043,11,1OUT,5
190043,11,1OUT,6
190043,11,1PD,0
190043,11,LSUP,0
190043,11,LSUP,0
190043,11,V2PLUMB,0
190044,11,FLOCARE,0
190044,11,V2CON,0
190045,11,1CARE,0
190045,11,1EGH,5
190045,11,1EGH,6
190045,11,1MEMN,5
190045,11,1MOD,5
190045,11,1MRSFD,6
190045,11,1MRSJ,5
190045,11,1PD,0
190045,11,1PSC,5
190045,11,1SOR,6
190045,11,1VAA,6
190046,11,1CARE,0
190046,11,1CSD,5
190046,11,1CSD,6
190046,11,1EGH,5
190046,11,1EGH,6
190046,11,1MGM,5
190046,11,1MGM,6
190046,11,1MOD,5
190046,11,1PD,0
190046,11,1PPP,5
190046,11,1PSC,5
190046,11,1PSC,6
190046,11,2RPJ1,6
190046,11,XTPST,0
190048,11,1CARE,0
190048,11,1CEM,5
190048,11,1ETE,5
190048,11,1ETE,6
190048,11,1MEM,5
190048,11,1MEM,6
190048,11,1PD,0
190048,11,1PSC,5
190048,11,1PSC,6
190048,11,1SOR,6
190048,11,1STU,5
190048,11,2RPJ1,6
190049,11,1CARE,0
190049,11,1EGH,5
190049,11,1ETE,6
190049,11,1IESDPRO,5
190049,11,1MGM,5
190049,11,1PD,0
190049,11,1PPP,5
190049,11,1PPS,6
190049,11,1PSC,5
190049,11,1PSC,6
190050,11,1CARE,0
190050,11,1EGH,5
190050,11,1EGH,6
190050,11,1FOH,6
190050,11,1MGM,5
190050,11,1MGM,6
190050,11,1MRSFD,6
190050,11,1MRSM,5
190050,11,1MRSW,5
190050,11,1NUT,5
190050,11,1PD,0
190050,11,1PHD,6
190050,11,1VAA,5
190050,11,2RPJ1,6
190052,11,1CARE,0
190052,11,1EGH,5
190052,11,1EGH,6
190052,11,1MGM,5
190052,11,1MRSM,5
190052,11,1MRSW,6
190052,11,1OUT,6
190052,11,1PD,0
190052,11,1PHD,5
190052,11,1PHD,6
190052,11,1PSC,5
190052,11,1PSC,6
190052,11,2RPJ1,6
190054,11,1CARE,0
190054,11,1DTM,5
190054,11,1EPM10,0
190054,11,1HWM10,6
190054,11,1LAM10,0
190054,11,1MPM10,0
190054,11,1PD,0
190054,11,1PLM10,0
190054,11,1SFM10,0
190054,11,1SOM10,0
190055,11,1CARE,0
190055,11,1EGH,5
190055,11,1EGH,6
190055,11,1FOH,5
190055,11,1MGM,5
190055,11,1MGM,6
190055,11,1MRSFD,6
190055,11,1MRSW,6
190055,11,1NUT,5
190055,11,1PD,0
190055,11,1PHD,5
190055,11,1PHD,6
190056,11,1CARE,0
190056,11,1CSD,6
190056,11,1EGH,5
190056,11,1ETE,6
190056,11,1FOH,6
190056,11,1MEMN,5
190056,11,1MRSFD,6
190056,11,1MRSJ,5
190056,11,1PD,0
190056,11,1STU,5
190056,11,1STU,6
190056,11,LSUP,0
190056,11,LSUP,0
190057,11,1CARE,0
190057,11,1EGH,5
190057,11,1EGH,6
190057,11,1ETELT,5
190057,11,1MEMN,5
190057,11,1MOD,5
190057,11,1MRSFD,6
190057,11,1MRSJ,5
190057,11,1PD,0
190057,11,1SOR,6
190057,11,1STU,5
190057,11,1VAA,6
190059,11,1CARE,0
190059,11,1EAL,5
190059,11,1EAL,6
190059,11,1MGM,5
190059,11,1MGM,6
190059,11,1MRSM,6
190059,11,1MRSW,6
190059,11,1PD,0
190059,11,1PHD,5
190059,11,1STU,5
190059,11,TEAL,0
190059,11,V2CON,0
190060,11,1CARE,0
190060,11,1CSD,6
190060,11,1DCSPH,5
190060,11,1EGH,5
190060,11,1EGH,6
190060,11,1IESDPRO,5
190060,11,1MGM,5
190060,11,1MGM,6
190060,11,1PD,0
190060,11,1PPP,5
190060,11,1SOR,6
190060,11,1STU,5
190060,11,2RPJ1,6
190063,11,FLOCARE,0
190065,11,1BGY,5
190065,11,1BGY,6
190065,11,1CARE,0
190065,11,1CSD,5
190065,11,1CSD,6
190065,11,1EAL,5
190065,11,1EAL,6
190065,11,1MGM,5
190065,11,1MGM,6
190065,11,1MRSJ,5
190065,11,1PD,0
190065,11,2RPJ1,6
190065,11,TEAL,0
190066,11,1CARE,0
190066,11,1ETE,5
190066,11,1ETE,6
190066,11,1MAM,5
190066,11,1MEMN,6
190066,11,1MEMN,6
190066,11,1MRSW,6
190066,11,1OUT,5
190066,11,1OUT,6
190066,11,1PD,0
190066,11,1STU,5
190066,11,V2CON,0
190067,11,1CARE,0
190067,11,1CVM20,0
190067,11,1EPM20,0
190067,11,1MPM20,0
190067,11,1PD,0
190067,11,1PLM10,0
190067,11,1SFM20,0
190067,11,1SOM20,0
190067,11,SU2DTE,6
190067,11,SU2FD,5
190068,11,1CARE,0
190068,11,1EPM20,0
190068,11,1HWM10,0
190068,11,1MPM20,0
190068,11,1PD,0
190068,11,1PLM10,0
190068,11,1SFM10,0
190068,11,1SOM20,0
190068,11,SC3ARTS,5
190068,11,SC3ARTS,6
190070,11,1CARE,0
190070,11,1CSD,5
190070,11,1CSD,6
190070,11,1ETE,5
190070,11,1ETE,6
190070,11,1MEM,5
190070,11,1NUT,5
190070,11,1OUT,5
190070,11,1OUT,6
190070,11,1PD,0
190070,11,1PHD,5
190070,11,1PHD,6
190070,11,2RPJ1,6
190070,11,LSUP,0
190071,11,1CARE,0
190071,11,1DTM,5
190071,11,1EPM20,0
190071,11,1HWM10,6
190071,11,1LAM10,0
190071,11,1MPM20,0
190071,11,1PD,0
190071,11,1PLM10,0
190071,11,1SFM10,0
190071,11,1SOM10,0
190073,11,FLOCARE,0
190074,11,1CARE,0
190074,11,1DCSPH,6
190074,11,1ETE,5
190074,11,1ETE,6
190074,11,1IESDPRO,5
190074,11,1MEMN,5
190074,11,1MRSW,6
190074,11,1PD,0
190074,11,1VAA,6
190075,11,1CARE,0
190075,11,1EGH,5
190075,11,1ETE,6
190075,11,1FOH,6
190075,11,1MGM,5
190075,11,1MGM,6
190075,11,1MRSW,5
190075,11,1OUT,5
190075,11,1OUT,6
190075,11,1PD,0
190075,11,1PHD,5
190075,11,2RPJ1,6
190076,11,1CARE,0
190076,11,1ETE,5
190076,11,1ETE,6
190076,11,1MEM,5
190076,11,1MEM,6
190076,11,1MRSM,6
190076,11,1MRSW,6
190076,11,1PD,0
190076,11,1PHD,5
190076,11,V2CON,0
190078,11,1CARE,0
190078,11,1DCSPH,5
190078,11,1ETE,5
190078,11,1ETE,6
190078,11,1FOH,6
190078,11,1HEWPED,6
190078,11,1IESDPRO,5
190078,11,1MEM,5
190078,11,1MRSW,6
190078,11,1OUT,5
190078,11,1PD,0
190079,11,1CARE,0
190079,11,1DCSPH,5
190079,11,1ETE,5
190079,11,1ETE,6
190079,11,1FOH,6
190079,11,1HEW,6
190079,11,1HEWPED,6
190079,11,1IESDPRO,5
190079,11,1MEM,5
190079,11,1MOD,5
190079,11,1PD,0
190080,11,1CARE,0
190080,11,1DCSPH,5
190080,11,1ETE,5
190080,11,1ETE,6
190080,11,1MEMN,5
190080,11,1MRSM,6
190080,11,1MRSW,6
190080,11,1PD,0
190080,11,1PHD,5
190080,11,1PHD,6
190080,11,V2CON,0
190081,11,1BGY,5
190081,11,1BGY,6
190081,11,1CARE,0
190081,11,1CEM,5
190081,11,1CEM,6
190081,11,1EGH,5
190081,11,1EGH,6
190081,11,1MAM,5
190081,11,1MGM,6
190081,11,1PD,0
190081,11,1PYI,5
190081,11,2RPJ1,6
190083,11,1BGY,5
190083,11,1CARE,0
190083,11,1ETE,5
190083,11,1ETELT,6
190083,11,1MGM,5
190083,11,1PD,0
190083,11,1PHD,5
190085,11,1BGY,5
190085,11,1CARE,0
190085,11,1EGH,5
190085,11,1EGH,6
190085,11,1HEW,5
190085,11,1MEMN,5
190085,11,1PD,0
190085,11,1PPP,5
190085,11,1PPS,6
190085,11,1PSC,5
190085,11,1PSC,6
190085,11,1SOR,6
190085,11,2RPJ1,6
190085,11,XTPST,0
190086,11,1CARE,0
190086,11,1ETE,5
190086,11,1ETE,6
190086,11,1MEM,5
190086,11,1MRSM,6
190086,11,1MRSW,6
190086,11,1PD,0
190086,11,1PHD,5
190086,11,1PHD,6
190086,11,V2AUTO,0
190087,11,1CARE,0
190087,11,1CSD,6
190087,11,1CSD,6
190087,11,1DCSPH,5
190087,11,1EGH,5
190087,11,1ETE,6
190087,11,1MGM,5
190087,11,1MGM,6
190087,11,1MOD,5
190087,11,1PD,0
190087,11,1PSC,5
190087,11,1STU,6
190087,11,2RPJ1,6
190088,11,1CARE,0
190088,11,1ETE,5
190088,11,1ETE,6
190088,11,1MEMN,5
190088,11,1MRSM,5
190088,11,1MRSW,6
190088,11,1NUT,5
190088,11,1OUT,5
190088,11,1OUT,6
190088,11,1PD,0
190088,11,1PHD,5
190088,11,1PHD,6
190088,11,1STU,6
190089,11,1CARE,0
190089,11,1ETELT,5
190089,11,1ETELT,6
190089,11,1FOH,6
190089,11,1HEW,6
190089,11,1MEMN,5
190089,11,1MOD,5
190089,11,1MRSFD,6
190089,11,1OUT,5
190089,11,1OUT,6
190089,11,1PD,0
190089,11,1PHD,5
190089,11,1VAA,5
190089,11,LSUP,0
190090,11,1CARE,0
190090,11,1EGH,5
190090,11,1EGH,6
190090,11,1MAM,5
190090,11,1MAM,6
190090,11,1MRSW,5
190090,11,1OUT,6
190090,11,1PD,0
190090,11,1PSC,5
190090,11,1PYI,5
190090,11,1PYI,6
190090,11,2RPJ1,6
190091,11,1CARE,0
190091,11,1ETE,5
190091,11,1ETELT,6
190091,11,1MEM,5
190091,11,1MEM,6
190091,11,1PD,0
190091,11,1PLP,0
190092,11,1CARE,0
190092,11,1CSD,6
190092,11,1EGH,5
190092,11,1EGH,6
190092,11,1FOH,5
190092,11,1MGM,5
190092,11,1PD,0
190092,11,1PPS,6
190092,11,1PSC,5
190092,11,1PSC,6
190092,11,1SOR,6
190092,11,1STU,5
190092,11,2RPJ1,6
190094,11,1CARE,0
190094,11,1CEM,5
190094,11,1CSD,6
190094,11,1CSD,6
190094,11,1EGH,5
190094,11,1EGH,6
190094,11,1MGM,5
190094,11,1MGM,6
190094,11,1MOD,5
190094,11,1PD,0
190094,11,1PSC,5
190094,11,1STU,5
190094,11,1STU,6
190094,11,2RPJ1,6
190095,11,1CARE,0
190095,11,1CSD,5
190095,11,1CSD,6
190095,11,1ETE,5
190095,11,1ETE,6
190095,11,1HEW,6
190095,11,1MEM,5
190095,11,1PD,0
190095,11,1PPP,5
190095,11,1SOR,6
190095,11,1STU,5
190095,11,1STU,6
190097,11,1CARE,0
190097,11,1CSD,6
190097,11,1ETELT,5
190097,11,1ETELT,6
190097,11,1MEMN,5
190097,11,1MOD,5
190097,11,1NUT,5
190097,11,1PD,0
190097,11,1STU,6
190097,11,LSUP,0
190097,11,LSUP,0
190097,11,V3BUS,0
190102,11,1CARE,0
190102,11,1CEM,5
190102,11,1CEM,6
190102,11,1EAL,5
190102,11,1EAL,6
190102,11,1MAM,5
190102,11,1MAM,6
190102,11,1PD,0
190102,11,1PHD,5
190102,11,1PHD,6
190102,11,1PYI,5
190102,11,1PYI,6
190102,11,2RPJ1,6
