Subject Code,Faculty Code,Subject Name,Subject Short Name,Subject Level,Subject Length,Subject Value,Status,Subject Fee,ED Subject Group Code,ED Year Level,ED Subject Code,Instruction Time,SSABSA Subject Code,SACE Stage,SACE Units,Course Name,SACE Code,FTE,TRT Days,Enrol Date,End Date,GL Account,Transaction Ref,future SACE,Result Type
03DM,IT,3D DIGITAL MODELLING,,10,2,,O,,08,10,ET,,,,,,,0,0,,,,,N,
0AAB,SC,ANIMAL ADAPT AND BEHAVIOUR,,10,2,,I,,05,10,SC,,,,,0AAB,,0,0,,,,,N,
0ABR,SV,WAR AND AUSTRALIA BECOMING A REPUBLIC,,10,2,,I,,06,10,SV,,,,,0ABR,,0,0,,,,,N,
0AFR,SV,WAR AND AFRICA,,10,2,,I,,06,10,SV,,,,,0AFR,,0,0,,,,,N,
0AIW,SV,AUSTRALIA'S INVOLVEMENT IN WAR,,10,1,,I,,06,10,SV,,,,,0AIW,,0,0,,,,,N,
0ALG,MA,ALGEBRA,,10,2,,I,,03,10,MA,,,,,,,0,0,,,,,N,
0ALGE,MA,ALGEBRAIC MANIPULATION,,10,1,,I,,03,10,MA,,,,,,,0,0,,,,,N,
0ALOP,CC,ALTERNATIVE LEARNING PROGRAM,,10,,,I,,09,10,MM,,,,,,,0,0,,,,,N,
0AMH,SV,AMERICAN HISTORY,,10,2,,I,,06,10,HI,,,,,,,0,0,,,,,N,
0APC,PE,ABORIGINAL POWER CUP,,10,2,,I,,04,10,PE,,,,,,,0,0,,,,,N,
0ART,AT,ART,,10,2,,I,,07,10,AT,,,,,0ART,,0,0,,,,,N,
0ARTA,AT,VISUAL ART A,,10,2,,O,,07,10,AT,,,,,,,0,0,,,,,N,
0ARTB,AT,VISUAL ART B,,10,2,,O,,07,10,AT,,,,,,,0,0,,,,,N,
0ARTF,AT,ART,,10,4,,I,,07,10,AT,240,,,,0ARTF,,,,,,,,N,
0ARTS,AT,ART,,10,2,,I,,07,10,AT,240,,,,0ARTS,,,,,,,,N,
0ATY,SC,ATOMIC THEORY,,10,1,,I,,05,10,SC,,,,,0ATY,,0,0,,,,,N,
0AUSS,SV,AUSTRALIAN STUDIES,,10,2,,I,,06,10,AX,240,1AUS1,1,1,0AUSS,AUS,,,,,,,N,
0BASS,MA,BASIC SKILLS,,10,1,,I,,03,10,MA,,,,,,,0,0,,,,,N,
0BCS,EG,BECOMING CONFIDENT SPEAKER,,10,1,,I,,01,10,EG,,,,,0BCS,,0,0,,,,,N,
0BIO,SC,BIOLOGICAL SCIENCE,,10,2,,I,,05,10,BL,,,,,,,0,0,,,,,N,
0CADF,IT,COMP AIDED DESIGN,,10,2,,I,,08,10,CP,240,,,,0CADF,,,,,,,,N,
0CADS,TS,COMP AIDED DESIGN,,10,2,,I,,08,10,CP,240,,,,0CADS,,,,,,,,N,
0CARE,AD,CARE GROUP,,10,4,,O,,09,10,MS,,,,,,,0,0,,,,,N,G
0CARE1,AD,CARE GROUP,,10,4,,I,,09,10,PA,100,,,,0CARE1,,0,0,,,,,N,
0CBIO,SC,CELLULAR BIOLOGY,,10,1,,I,,05,10,SC,,,,,0CBIO,,0,0,,,,,N,
0CCA,AT,CROSS CURRICULAR ARTS,,10,2,,I,,07,10,MS,,,,,,,0,0,,,,,N,
0CFM,HE,COURSES OF A FORMAL MENU,,10,1,,I,,04,10,HE,,,,,0CFM,,0,0,,,,,N,
0CHI,LE,CHINESE,,10,4,,O,,02,10,CI,,,,,,,0,0,,,,,N,
0CHI1,LE,CHINESE,,10,2,,I,,02,10,CI,,,,,,,0,0,,,,,N,
0CHIF,LE,CHINESE FULL,,10,2,,I,,02,10,CI,,,,,0CHIF,,0,0,,,,,N,
0CHIH,LE,CHINESE HALF,,10,2,,I,,02,10,CI,,,,,0CHIH,,0,0,,,,,N,
0CHM,SC,CHEMICAL SCIENCE,,10,2,,I,,05,10,SC,,,,,,,0,0,,,,,N,
0CHOC,HE,CHOCOLATE WORK,,10,1,,I,,04,10,HE,,,,,0CHOC,,0,0,,,,,N,
0CHST,HE,CHILD STUDIES,,10,2,,I,,08,10,CZ,,,,,,,0,0,,,,,N,
0CIV,SV,CIVICS CITIZENSHIP ECONOMICS,,10,2,,O,,06,10,SS,,,,,,,0,0,,,,,N,
0CMDY,EG,COMEDY,,10,1,,I,,01,10,EG,,,,,,,0,0,,,,,N,
0CON,SC,CONSTRUCTION SCIENCE,,10,2,,I,,05,10,SC,,,,,,,0,0,,,,,N,
0CR8WTG,EG,CREATIVE WRITING,,10,2,,O,,01,10,EG,,,,,,,0,0,,,,,N,
0CST,LE,CULTURAL STUDIES,,10,4,,I,,02,10,ZZ,,,,,0CST,,0,0,,,,,N,
0CWRI,EG,CREATIVE WRITING,,10,1,,I,,01,10,EG,,,,,,,0,0,,,,,N,
0D2C,TS,DOORWAYS 2 CONSTRUCTION,,10,2,,I,,08,10,DT,,,,,,,0,0,,,,,N,
0DAN,AT,DANCE,,10,2,,I,,07,10,DA,,,,,0DAN,,0,0,,,,,N,
0DANA,AT,DANCE A,,10,2,,O,,07,10,DA,,,,,,,0,0,,,,,N,
0DANB,AT,DANCE B,,10,2,,O,,07,10,DA,,,,,,,0,0,,,,,N,
0DANF,AT,DANCE,,10,4,,I,,07,10,DA,240,,,,0DANF,,,,,,,,N,
0DANS,AT,DANCE,,10,4,,I,,07,10,DA,240,,,,0DANS,,,,,,,,N,
0DCC,HE,MAKING AND DECORATING CAKE,,10,1,,I,,04,10,HE,,,,,0DCC,,0,0,,,,,N,
0DDNC,IT,DIGITAL DESIGN - COMPUTING,,10,2,,I,,08,10,IF,,,,,,,0,0,,,,,N,
0DDNDP,IT,DIGITAL DESIGN - DIGITAL PUBLISHING,,10,2,,I,,08,10,ME,,,,,,,0,0,,,,,N,
0DDNMP,IT,DIGITAL DESIGN - MEDIA PRODUCTION,,10,2,,I,,08,10,FV,,,,,,,0,0,,,,,N,
0DDNPH,IT,DIGITAL DESIGN - PHOTOGRAPHY,,10,2,,I,,08,10,PH,,,,,,,0,0,,,,,N,
0DES,AT,DESIGN,,10,2,,I,,07,10,DE,,,,,0DES,,0,0,,,,,N,
0DESF,AT,DESIGN,,10,4,,I,,07,10,DE,240,,,,0DESF,,,,,,,,N,
0DESS,AT,DESIGN,,10,2,,I,,07,10,DE,240,,,,0DESS,,,,,,,,N,
0DGP,IT,DIGITAL GRAPHICS,,10,2,,O,,08,10,IQ,,,,,,,0,0,,,,,N,
0DIMS,AT,DIGITAL MUSIC,,10,2,,I,,07,10,MU,240,,,,0DIMS,,,,,,,,N,
